seed,init_head,head_idx,setting,train_threshold,train_size,train_fraction,unfreeze_scope,train_sampling_mode,train_pool_eligible_size,train_pool_leftover_hq_size,train_pool_lower_quality_size,train_hq_count,train_lower_quality_count,train_hq_fraction,val_size,test_size,head_lr,backbone_lr,weight_decay,val_n,val_mae,val_rmse,val_pearson,val_spearman,val_r2,val_loss_standardized,test_n,test_mae,test_rmse,test_pearson,test_spearman,test_r2,test_loss_standardized,best_epoch,best_val_loss_standardized,initial_trainable_params,total_params,final_trainable_params,frozen_epochs,initial_trainable_names,final_trainable_names,initial_trainable_conv1_params,initial_trainable_conv2_params,initial_trainable_conv3_params,initial_trainable_linear_params,initial_trainable_branched_params,initial_trainable_output_params,initial_trainable_other_params,final_trainable_conv1_params,final_trainable_conv2_params,final_trainable_conv3_params,final_trainable_linear_params,final_trainable_branched_params,final_trainable_output_params,final_trainable_other_params
23,SKNSH,2,B2_with_RC,1,161,0.050077760497667184,branched_only,hq_first,3215,614,2601,161,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.25191670656204224,0.334026575088501,0.326922849832024,0.30695630923460654,0.10687854974229213,1.503520131111145,307,0.213902547955513,0.28152361512184143,0.3388212939665895,0.28371854115717493,0.11479986924519406,1.0680137872695923,10,1.503520131111145,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
31,SKNSH,2,B2_with_RC,1,161,0.050077760497667184,branched_only,hq_first,3215,614,2601,161,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.2509336769580841,0.3334204852581024,0.3306546417781449,0.30324337725110817,0.10933249212943333,1.3009965419769287,307,0.21311768889427185,0.2809113562107086,0.34201850151408275,0.2844399468548232,0.11697665537793862,0.9234855771064758,14,1.3009965419769287,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
17,HepG2,1,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.24782900512218475,0.3291066586971283,0.37046067696458934,0.30936717476044584,0.1372411131770618,1.3380954265594482,307,0.2120520919561386,0.2805984616279602,0.343271764526495,0.26105969062568046,0.11783550432113343,0.9727120995521545,29,1.3380954265594482,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
19,HepG2,1,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.25081369280815125,0.33126726746559143,0.3479687098219445,0.2963212112337297,0.12108222301514862,1.320369839668274,307,0.21902480721473694,0.2865567207336426,0.30872745947505204,0.2685727290715392,0.0953126442339199,0.9880062937736511,8,1.320369839668274,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
23,HepG2,1,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.250535249710083,0.33112379908561707,0.34815506456703543,0.30612745756534976,0.12121194898367661,1.3598783016204834,307,0.21795152127742767,0.2851989269256592,0.3183130692449747,0.2747794765325149,0.10132321005215607,1.008823037147522,5,1.3598783016204834,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
31,HepG2,1,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.24666878581047058,0.32717299461364746,0.38815286662904475,0.31944904687535264,0.15066264787234498,1.262342095375061,307,0.2100672721862793,0.2770540714263916,0.3759490776837476,0.2926023869189348,0.14133770901126047,0.9052137732505798,29,1.262342095375061,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
17,K562,0,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.2466212660074234,0.3260803520679474,0.40490215832779525,0.3186800915646299,0.16394575781850698,1.3135995864868164,307,0.20703189074993134,0.27643415331840515,0.38131201307065227,0.3111622850597334,0.1453988513119933,0.9440546035766602,27,1.3135995864868164,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
19,K562,0,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.24790054559707642,0.3275448679924011,0.38015594120545415,0.30529114063212165,0.1445185396338047,1.2908629179000854,307,0.21065479516983032,0.27850455045700073,0.36330878250508863,0.2971271682359135,0.1319932714453298,0.9332609176635742,11,1.2908629179000854,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
23,K562,0,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.24808469414710999,0.3284670412540436,0.37018414668446675,0.2963292986030319,0.1370363024565068,1.338144063949585,307,0.2120155543088913,0.2795775532722473,0.3571666951039382,0.29741064101594605,0.12756804809146957,0.9694466590881348,8,1.338144063949585,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
31,K562,0,B2_with_RC,1,322,0.10015552099533437,branched_only,hq_first,3215,614,2601,322,0,1.0,307,307,0.0002,5e-05,0.0001,307,0.24658948183059692,0.3242006301879883,0.3984289700553055,0.31216229401236295,0.1587456441793315,1.2395093441009521,307,0.2084624171257019,0.27618131041526794,0.391442443714326,0.3112904710868256,0.1532271867410433,0.8995197415351868,29,1.2395093441009521,179761,3747661,179761,2,"[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]","[""branched.branched_layer_1.weight"", ""branched.branched_layer_1.bias"", ""branched.branched_layer_2.weight"", ""branched.branched_layer_2.bias"", ""branched.branched_layer_3.weight"", ""branched.branched_layer_3.bias"", ""output.weight"", ""output.bias""]",0,0,0,0,179620,141,0,0,0,0,0,179620,141,0
