launched_at,task_family,target_family,comparison_group,config_path,launch_script,wandb_entity,wandb_project,sweep_path,sweep_id,num_agents,runs_per_agent,gpu_list,notes
"2026-04-20T12:31:43-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/bassetvl/promoter__deboer_core__bassetvl__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__bassetvl","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__bassetvl/c1ova4ln","c1ova4ln","1","1","0","pilot"
"2026-04-20T12:32:22-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/resnet1d/promoter__deboer_core__resnet1d__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__resnet1d","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__resnet1d/ektlx9cb","ektlx9cb","1","1","0","pilot"
"2026-04-20T12:38:37-05:00","utr3","hani_rna_activity","utr3__hani_rna_activity__baseline_architecture","configs/utr3/hani_rna_activity/utr_bassetvl/utr3__hani_rna_activity__utr_bassetvl__bayes.yml","launch/utr3_hani_utr_bassetvl_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__scratch__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__scratch__utr_bassetvl/52br5o1t","52br5o1t","1","1","0","utr3_pilot_retry_after_parser_fix"
"2026-04-20T12:50:24-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/bassetvl/promoter__deboer_core__bassetvl__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__bassetvl","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__bassetvl/vq1bvoos","vq1bvoos","1","1","0","promoter_bassetvl_pilot_v2"
"2026-04-20T12:51:15-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/resnet1d/promoter__deboer_core__resnet1d__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__resnet1d","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__resnet1d/5f7tj28r","5f7tj28r","1","1","0","promoter_resnet1d_pilot_v2"
"2026-04-20T14:39:19-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/bassetvl/promoter__deboer_core__bassetvl__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__bassetvl","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__bassetvl/xyxijztm","xyxijztm","1","1","0","promoter_bassetvl_pilot_v2"
"2026-04-20T16:24:44-05:00","utr5","polysome","utr5__polysome__within_library__egfp_1","configs/utr5/polysome/utr_bassetvl/utr5__polysome__utr_bassetvl__bayes__egfp_1.yml","launch/utr5_polysome_utr_bassetvl_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__polysome__scratch__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/utr5__polysome__scratch__utr_bassetvl/23xe4fns","23xe4fns","1","1","0","pilot"
"2026-04-20T22:57:29-05:00","utr3","hani_rna_activity","utr3__hani_rna_activity__baseline_architecture","configs/utr3/hani_rna_activity/utr_bassetvl/utr3__hani_rna_activity__utr_bassetvl__bayes.yml","launch/utr3_hani_utr_bassetvl_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__scratch__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__scratch__utr_bassetvl/2y649ywz","2y649ywz","1","1","0","all_regions_pilot_after_cleanup"
"2026-04-20T23:57:46-05:00","utr5","hani_rna_activity","utr5__hani_rna_activity__baseline_architecture","configs/utr5/hani_rna_activity/utr_bassetvl/utr5__hani_rna_activity__utr_bassetvl__bayes.yml","launch/utr5_hani_utr_bassetvl_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__scratch__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__scratch__utr_bassetvl/00un2l3t","00un2l3t","1","1","0","all_regions_pilot_after_cleanup"
"2026-04-21T01:14:25-05:00","utr5","hani_rna_activity","utr5__hani_rna_activity__baseline_architecture","configs/utr5/hani_rna_activity/utr_bassetvl/utr5__hani_rna_activity__utr_bassetvl__bayes.yml","launch/utr5_hani_utr_bassetvl_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__scratch__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__scratch__utr_bassetvl/ro3h7qcs","ro3h7qcs","1","16","4","utr5_baseline_hpo_v1"
