"registry_status","task_family","target_family","dataset_name","comparison_group","source_kind","wandb_entity","wandb_project","sweep_id","run_id","timestamp","config_path","launch_script","model_module","graph_module","metric_name","metric_value","artifact_path","model_saved_path","notes"
"historical","enhancer","malinois_mpra","malinois_bo_table","enhancer__malinois_mpra__baseline_transfer","table_recovery","","","","","20240104_071417","configs/enhancer/malinois_mpra/basset_branched/enhancer__malinois_mpra__basset_branched__transfer_baseline.yml","launch/enhancer_malinois_basset_branched_baseline.sh","BassetBranched","CNNTransferLearning","avg_test_score","0.8867","","","Recovered from tutorials/malinois_BO_Sup_table_3.txt"
"historical","promoter","deboer_core","deboer_core_promoter","promoter__deboer_core__baseline_architecture","local_wandb_cache","","promoter_optimization","","404zkdns","20250910_164516","configs/promoter/deboer_core/utr_bassetvl/promoter__deboer_core__utr_bassetvl__bayes.yml","launch/promoter_deboer_utr_bassetvl_sweep.sh","UTR_BassetVL","CNNBasicTraining","epoch_end_val_r2","0.4119","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/promoter/sweep/sept10_sweep","","Recovered from src/learn/wandb local cache"
"current","utr3","hani_rna_activity","3UTR_lib1_branched_observed_heads","utr3__hani_rna_activity__observed_head_resnet1d_challenger","run_registry_validation_selected","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__resnet1d_challenger","i25qb8e3","zlipechs","20260507_024609","configs/utr3/hani_rna_activity/resnet1d/utr3__hani_rna_activity__resnet1d__bayes.yml","launch/utr3_hani_resnet1d_sweep.sh","ResNet1DRegressor","CNNBasicTraining","epoch_end_val_pearson_r2","0.5288228988647461","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr3/hani_rna_activity/resnet1d/bayes/model_artifacts__utr3__hani_rna_activity__resnet1d_challenger__zlipechs__20260507_024610.tar.gz","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr3/hani_rna_activity/resnet1d/bayes/model_artifacts__utr3__hani_rna_activity__resnet1d_challenger__zlipechs__20260507_024610.tar.gz","Validation-first May 2026 UTR decision notebook. Held-out test_r2=0.5071; test_pearson=0.7112. Delta-aux was analyzed as a PARADE-style ablation and not promoted."
"current","utr5","hani_rna_activity","5UTR_lib1_branched_observed_heads","utr5__hani_rna_activity__observed_head_resnet1d_challenger","run_registry_validation_selected","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__resnet1d_challenger","9fpbes2j","1mmy39ku","20260508_153215","configs/utr5/hani_rna_activity/resnet1d/utr5__hani_rna_activity__resnet1d__bayes.yml","launch/utr5_hani_resnet1d_sweep.sh","ResNet1DRegressor","CNNBasicTraining","epoch_end_val_pearson_r2","0.5970736145973206","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr5/hani_rna_activity/resnet1d/bayes/model_artifacts__utr5__hani_rna_activity__resnet1d_challenger__1mmy39ku__20260508_153215.tar.gz","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr5/hani_rna_activity/resnet1d/bayes/model_artifacts__utr5__hani_rna_activity__resnet1d_challenger__1mmy39ku__20260508_153215.tar.gz","Validation-first May 2026 UTR decision notebook. Held-out test_r2=0.5708; test_pearson=0.7549. Delta-aux was analyzed as a PARADE-style ablation and not promoted."
"historical","utr5","polysome","GSM3130435_egfp_unmod_1","utr5__polysome__within_library__egfp_1","notebook_recovery","","boda2_EU-src","rp7qguqc","","20250415_101214","configs/utr5/polysome/utr_bassetvl/utr5__polysome__utr_bassetvl__fixed__egfp_1.yml","launch/utr5_polysome_fixed_all.sh","UTR_BassetVL","CNNBasicTraining","top_within_library_r2","0.9459","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr5/polysome/egfp_1","","Historical sweep recovered from tutorials/get_HPO_5utr_polysome.ipynb; config recreated during repo reorg"
"historical","utr5","polysome","GSM3130436_egfp_unmod_2","utr5__polysome__within_library__egfp_2","notebook_recovery","","boda2_EU-src","awnbbtop","","20250416_123247","configs/utr5/polysome/utr_bassetvl/utr5__polysome__utr_bassetvl__fixed__egfp_2.yml","launch/utr5_polysome_fixed_all.sh","UTR_BassetVL","CNNBasicTraining","top_within_library_r2","0.9006","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr5/polysome/egfp_2","","Historical sweep recovered from tutorials/get_HPO_5utr_polysome.ipynb; config recreated during repo reorg"
"historical","utr5","polysome","GSM3130441_mcherry_1","utr5__polysome__within_library__mcherry_1","notebook_recovery","","boda2_EU-src","4mxeeug3","","20250417_180941","configs/utr5/polysome/utr_bassetvl/utr5__polysome__utr_bassetvl__fixed__mcherry_1.yml","launch/utr5_polysome_fixed_all.sh","UTR_BassetVL","CNNBasicTraining","top_within_library_r2","0.8091","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr5/polysome/mcherry_1","","Historical sweep recovered from tutorials/get_HPO_5utr_polysome.ipynb; config recreated during repo reorg"
"historical","utr5","polysome","GSM3130442_mcherry_2","utr5__polysome__within_library__mcherry_2","notebook_recovery","","boda2_EU-src","50qg6ejn","","20250420_042012","configs/utr5/polysome/utr_bassetvl/utr5__polysome__utr_bassetvl__fixed__mcherry_2.yml","launch/utr5_polysome_fixed_all.sh","UTR_BassetVL","CNNBasicTraining","top_within_library_r2","0.8775","/home/minhang/synBio_AL/boda2_EU/src/learn/local_artifacts/utr5/polysome/mcherry_2","","Historical sweep recovered from tutorials/get_HPO_5utr_polysome.ipynb; config recreated during repo reorg"
