split_strategy,split_pool,split_val_fraction,split_test_fraction,val_is_fixed_across_seeds,test_is_fixed_across_seeds,setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0002,1e-05,random,branched_only,0.2723315322682971,0.011033791984010787,84,0.3565089088820276,0.014776058059650817,84,0.29145101490156267,0.043458028574873055,84,0.22804667817519905,0.03511259493732406,84,0.07652626007044738,0.0367684999535571,84,0.08680981099848427,0.025052150216449506,84,0.9136321849766231,0.10898650474293888,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0002,1e-05,random,conv3_plus,0.27326876670122147,0.011039391892056815,84,0.3578364139511472,0.014585526777301527,84,0.292373300194542,0.03932713202973117,84,0.22882886520235204,0.034733562424348954,84,0.0696053725360439,0.03627973670974129,84,0.08701035779802593,0.022654373235318572,84,0.9202912818817865,0.1079884791586406,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0002,1e-05,random,full,0.274876040716966,0.011108282288946435,84,0.35997812378974187,0.014730635061075366,84,0.2844833398930359,0.04071418049521699,84,0.2309641052205743,0.029932624213317178,84,0.05842165002514695,0.03716645079326786,84,0.0825686813070771,0.023025636656766074,84,0.9314913132361003,0.11102001275673669,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0002,0.0001,random,branched_only,0.2723315322682971,0.011033791984010787,84,0.3565089088820276,0.014776058059650817,84,0.29145101490156267,0.043458028574873055,84,0.22804667817519905,0.03511259493732406,84,0.07652626007044738,0.0367684999535571,84,0.08680981099848427,0.025052150216449506,84,0.9136321849766231,0.10898650474293888,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0002,0.0001,random,conv3_plus,0.27421916524569195,0.011064841213400808,84,0.3584978392436391,0.014497542711412723,84,0.29010676313343664,0.03780240152275778,84,0.22936845082744656,0.029497193344907354,84,0.06612779831050519,0.036554297972856926,84,0.08557394341520858,0.021379941143546122,84,0.9238860294932411,0.11048348018683164,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0002,0.0001,random,full,0.2752278812584423,0.011314170371306734,84,0.3597975302310217,0.015402535571437618,84,0.2900036503552149,0.038792308333308885,84,0.2356521332230618,0.028990262640340807,84,0.0592260331804428,0.043948024500851016,84,0.085589045605345,0.022125975203474365,84,0.9307269865558261,0.11465572553385124,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0005,1e-05,random,branched_only,0.2724072262644768,0.010925675853400513,84,0.3566791773551986,0.014723490883154293,84,0.2911858386357461,0.042186108853929385,84,0.22562651228615718,0.03582749342128442,84,0.07568674278163169,0.03531329447828241,84,0.08654767388104505,0.02430652015782144,84,0.9144657112303234,0.1086897091954193,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0005,1e-05,random,conv3_plus,0.27270832586856114,0.011080515201834841,84,0.3570808001926967,0.014695342712678297,84,0.294364949860647,0.04106109969726783,84,0.22778256931957835,0.0383276321374025,84,0.07357949356671208,0.03573740063642273,84,0.08831666602066317,0.023788033760918825,84,0.9164919938359942,0.10834619426927299,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0005,1e-05,random,full,0.2734004252013706,0.01092420722595043,84,0.3581451333704449,0.014612672255139176,84,0.29137165661208464,0.042841354398566636,84,0.23147518444991688,0.03369113793955661,84,0.0680212718534835,0.03577385990832696,84,0.08671097414206577,0.024593401004223452,84,0.9221979606719244,0.11115462583500708,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0005,0.0001,random,branched_only,0.2724072262644768,0.010925675853400513,84,0.3566791773551986,0.014723490883154293,84,0.2911858386357461,0.042186108853929385,84,0.22562651228615718,0.03582749342128442,84,0.07568674278163169,0.03531329447828241,84,0.08654767388104505,0.02430652015782144,84,0.9144657112303234,0.1086897091954193,84,179761.0,0.0,84,179761.0,0.0,84
