setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
B1_no_RC,,0.0002,1e-05,hq_first,branched_only,0.2066388539969921,0.005550581660047966,84,0.2731539568021184,0.007029397808030098,84,0.40546810755536733,0.05633318761373567,84,0.3040858121417549,0.0321619457493578,84,0.1626307874777,0.04385664850548735,84,0.1675400353661752,0.04112323677460458,84,0.6955087390683946,0.21675987841778724,84,179761.0,0.0,84,179761.0,0.0,84
B1_no_RC,,0.0002,1e-05,hq_first,conv3_plus,0.20633281111007645,0.00549646284159854,84,0.2727809505803244,0.006347664937475926,84,0.4107132362216008,0.04903659825547665,84,0.30699455999454417,0.029043005920812447,84,0.16501574862891197,0.03944308843749698,84,0.17106132432884577,0.03666063941036933,84,0.692591721812884,0.21162686865109812,84,179761.0,0.0,84,3063361.0,0.0,84
B1_no_RC,,0.0002,1e-05,hq_first,full,0.2120784123738607,0.005674584526168699,84,0.27858123857350575,0.00664823693053147,84,0.38279499424378005,0.053026743564651146,84,0.2929876093031102,0.0281167139921984,84,0.1291046958863895,0.04170041080547276,84,0.14931036891863034,0.03937668331232897,84,0.7229298253854116,0.22023309475008115,84,179761.0,0.0,84,3747661.0,0.0,84
B1_no_RC,,0.0002,0.0001,hq_first,branched_only,0.2066388539969921,0.005550581660047966,84,0.2731539568021184,0.007029397808030098,84,0.40546810755536733,0.05633318761373567,84,0.3040858121417549,0.0321619457493578,84,0.1626307874777,0.04385664850548735,84,0.1675400353661752,0.04112323677460458,84,0.6955087390683946,0.21675987841778724,84,179761.0,0.0,84,179761.0,0.0,84
B1_no_RC,,0.0002,0.0001,hq_first,conv3_plus,0.2104730515607766,0.006030935713801767,84,0.2771241104318982,0.006267971852235027,84,0.3864681231311219,0.04557316703594131,84,0.2988373820840051,0.024831406871922552,84,0.1382406755104555,0.03918848321736139,84,0.15140979858882445,0.034175930340661735,84,0.7146214012588773,0.21579160780941484,84,179761.0,0.0,84,3063361.0,0.0,84
B1_no_RC,,0.0002,0.0001,hq_first,full,0.2140112505072639,0.005505148445652873,84,0.28051778816041495,0.0059990997469865906,84,0.37749414774971796,0.04650210685823961,84,0.2923672413886827,0.027909188125469393,84,0.11705240765251962,0.037832610896531796,84,0.14463853412346656,0.034670383913896895,84,0.7322911804630643,0.2205271544646575,84,179761.0,0.0,84,3747661.0,0.0,84
B1_no_RC,,0.0005,1e-05,hq_first,branched_only,0.2074012447680746,0.006533671515594465,84,0.2737542813022931,0.008009943390206973,84,0.4007184890322763,0.06215687371967561,84,0.30372924957465175,0.032728378824700304,84,0.1587850739442668,0.04991729435503406,84,0.16439279062969278,0.045971431608151175,84,0.6999491740550313,0.22328378310324581,84,179761.0,0.0,84,179761.0,0.0,84
B1_no_RC,,0.0005,1e-05,hq_first,conv3_plus,0.20622550501000314,0.006138450237687432,84,0.2725072513733591,0.0073624532244174,84,0.41066038590572695,0.05682505629102738,84,0.3085775156068385,0.02990762969793705,84,0.16653542062666077,0.04574400781625885,84,0.17183259806254664,0.04264143678676878,84,0.6923839719522566,0.21668604015889922,84,179761.0,0.0,84,3063361.0,0.0,84
B1_no_RC,,0.0005,1e-05,hq_first,full,0.20781090908816882,0.005561680079990055,84,0.2736159758198829,0.006654869953388664,84,0.4101447189006069,0.05194629513921687,84,0.3089603071964579,0.02991038628776888,84,0.15985435945030815,0.041306700918275006,84,0.17088498400195457,0.03970796847327672,84,0.6978421058683169,0.2158079727010067,84,179761.0,0.0,84,3747661.0,0.0,84
B1_no_RC,,0.0005,0.0001,hq_first,branched_only,0.2074012447680746,0.006533671515594465,84,0.2737542813022931,0.008009943390206973,84,0.4007184890322763,0.06215687371967561,84,0.30372924957465175,0.032728378824700304,84,0.1587850739442668,0.04991729435503406,84,0.16439279062969278,0.045971431608151175,84,0.6999491740550313,0.22328378310324581,84,179761.0,0.0,84,179761.0,0.0,84
B1_no_RC,,0.0005,0.0001,hq_first,conv3_plus,0.20711749259914672,0.006041067350502837,84,0.2735057675412723,0.006452052126826686,84,0.40804280058408116,0.04852123237134446,84,0.30807920390578475,0.026924745161276083,84,0.16056008584366002,0.0398903749543236,84,0.16882520959944336,0.037583333246988634,84,0.6965349022121656,0.21239980720871693,84,179761.0,0.0,84,3063361.0,0.0,84
B1_no_RC,,0.0005,0.0001,hq_first,full,0.21099617101606868,0.005260663619802628,84,0.27670861851601375,0.0061755534060356256,84,0.4004321319022669,0.05196640312271971,84,0.30324190682476043,0.028275255123163527,84,0.14083425430694857,0.038381234663373544,84,0.16301425041981324,0.04017031274812284,84,0.7127981487484205,0.21540676888566793,84,179761.0,0.0,84,3747661.0,0.0,84
B2_with_RC,,0.0002,1e-05,hq_first,branched_only,0.20488384880480312,0.005305816227361737,84,0.2721030204778626,0.00546567012904907,84,0.416106705533461,0.041155004314678514,84,0.3165342769462153,0.020153330329892524,84,0.16927414501091245,0.03383700100557642,84,0.17481836126552616,0.03178741319122119,84,0.68766736132758,0.2046170995075359,84,179761.0,0.0,84,179761.0,0.0,84
B2_with_RC,,0.0002,1e-05,hq_first,conv3_plus,0.2040626113968236,0.005170844564592972,84,0.2707471599181493,0.005438690775186961,84,0.42953939535552593,0.038777880834409195,84,0.3198408554775411,0.021024885356195025,84,0.17753232622034845,0.033467537525510335,84,0.18598991472770787,0.03108698641629457,84,0.6809691339731216,0.20297496002807244,84,179761.0,0.0,84,3063361.0,0.0,84
B2_with_RC,,0.0002,1e-05,hq_first,full,0.20718215583335786,0.005803123671258429,84,0.27351077575059163,0.006303223156849221,84,0.4190530722395839,0.043575266259515084,84,0.31524371223682174,0.021340238220138693,84,0.16055039863199516,0.038830616406579206,84,0.17748167637552645,0.035205788123024814,84,0.6966858467175847,0.21195689316076072,84,179761.0,0.0,84,3747661.0,0.0,84
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,0.20488384880480312,0.005305816227361737,84,0.2721030204778626,0.00546567012904907,84,0.416106705533461,0.041155004314678514,84,0.3165342769462153,0.020153330329892524,84,0.16927414501091245,0.03383700100557642,84,0.17481836126552616,0.03178741319122119,84,0.68766736132758,0.2046170995075359,84,179761.0,0.0,84,179761.0,0.0,84
B2_with_RC,,0.0002,0.0001,hq_first,conv3_plus,0.20597262396698907,0.005435143162729091,84,0.2723568191840535,0.0053960470064275045,84,0.42274869322784964,0.03900565147925416,84,0.3201385644278175,0.020971678297876648,84,0.16773272946185702,0.03313565492554713,84,0.180219786082136,0.03187667916832426,84,0.6895369582232975,0.20564834125342274,84,179761.0,0.0,84,3063361.0,0.0,84
B2_with_RC,,0.0002,0.0001,hq_first,full,0.20713491773321516,0.006421228805877617,84,0.2723351032251403,0.006875856975753131,84,0.4287485984151357,0.045688221228749104,84,0.3240792341432326,0.022317313021697666,84,0.1676641466909361,0.042223918235856035,84,0.18588792404057322,0.0383091919197652,84,0.6914851853535289,0.21330183287398047,84,179761.0,0.0,84,3747661.0,0.0,84
B2_with_RC,,0.0005,1e-05,hq_first,branched_only,0.20477196272640003,0.005562732724982127,84,0.27177784059728893,0.005810210474161413,84,0.4189902279476061,0.042945404085951926,84,0.32118714695458556,0.02322982639426639,84,0.17121466405805105,0.03591930032817413,84,0.17737516280326282,0.033416739855272555,84,0.6853727957322484,0.2022847880139988,84,179761.0,0.0,84,179761.0,0.0,84
B2_with_RC,,0.0005,1e-05,hq_first,conv3_plus,0.20355646720244772,0.004705484034718151,84,0.270330300288541,0.0049575474608246,84,0.43120536467733156,0.036151576912930826,84,0.32245168697555926,0.02232895520638117,84,0.18011744301596866,0.03047792695625415,84,0.1872294442717867,0.02884908178367378,84,0.6777584265385356,0.1981711586480634,84,179761.0,0.0,84,3063361.0,0.0,84
