split_strategy,split_pool,split_val_fraction,split_test_fraction,val_is_fixed_across_seeds,test_is_fixed_across_seeds,setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,train_threshold,train_size,init_head,train_mae_mean,train_mae_std,train_mae_count,train_rmse_mean,train_rmse_std,train_rmse_count,train_pearson_mean,train_pearson_std,train_pearson_count,train_spearman_mean,train_spearman_std,train_spearman_count,train_r2_mean,train_r2_std,train_r2_count,train_pearson_sq_mean,train_pearson_sq_std,train_pearson_sq_count,train_loss_standardized_mean,train_loss_standardized_std,train_loss_standardized_count,val_mae_mean,val_mae_std,val_mae_count,val_rmse_mean,val_rmse_std,val_rmse_count,val_pearson_mean,val_pearson_std,val_pearson_count,val_spearman_mean,val_spearman_std,val_spearman_count,val_r2_mean,val_r2_std,val_r2_count,val_pearson_sq_mean,val_pearson_sq_std,val_pearson_sq_count,val_loss_standardized_mean,val_loss_standardized_std,val_loss_standardized_count,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,best_epoch_mean,best_epoch_std,best_epoch_count,best_val_loss_standardized_mean,best_val_loss_standardized_std,best_val_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,1,134,K562,0.26933638751506805,0.03836649957572854,4,0.34674064815044403,0.049332060169317626,4,0.3873231985999801,0.0450681829762365,4,0.35390111302026017,0.04623346796182569,4,0.13017521769222917,0.06714758951729062,4,0.15154261601130425,0.03660178517786325,4,0.8633335828781128,0.06664643998927362,4,0.2838892191648483,0.007865992687106417,4,0.3703145608305931,0.011521209711763295,4,0.3203757084665656,0.043368568683211,4,0.2421368051334356,0.038827877076637006,4,0.08549543106576848,0.03650835731675852,4,0.1040512191376766,0.028138701923901093,4,1.021968424320221,0.2524523155770625,4,0.2763507589697838,0.011610636559446035,4,0.36226025223731995,0.015385446433004773,4,0.27025233359804224,0.02615526395313832,4,0.2306751456136238,0.024900118974871013,4,0.04674902234890002,0.01858002993042046,4,0.07354939718953128,0.013724763372419728,4,0.9675800204277039,0.1827054833533869,4,111.5,106.0895847856895,4,1.021968424320221,0.2524523155770625,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,1,268,K562,0.2585548870265484,0.02240308002278403,4,0.3340575397014618,0.03237195947568192,4,0.43099588092248997,0.06540108882297706,4,0.3671305672388513,0.05413090788348605,4,0.18648617364433434,0.059114824241113695,4,0.18896542618657636,0.05739838269199714,4,0.8104783147573471,0.05889423747136077,4,0.27905501425266266,0.006048048268976187,4,0.3649608790874481,0.01024285416596528,4,0.34637566199088443,0.054989493023739934,4,0.25048760458008984,0.0383937040572368,4,0.11158526772457819,0.03683953188998308,4,0.12224398247687937,0.03742102395512394,4,0.9822556376457214,0.1618722464951818,4,0.2739792689681053,0.011918268273413767,4,0.35793665796518326,0.01626601117990021,4,0.2802088673826789,0.03670998368652318,4,0.22582207017730363,0.03405484012327634,4,0.06942024791600673,0.025877028426088012,4,0.07952772653658233,0.019987336607763882,4,0.9392601847648621,0.11708717850286615,4,115.0,58.89538748209971,4,0.9822556376457214,0.1618722464951818,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,1,536,K562,0.25955475121736526,0.012962176792723596,4,0.3346535861492157,0.017587844772448652,4,0.44905071743119385,0.03942113237068928,4,0.37749688552542104,0.04090999951919975,4,0.19866955522072613,0.038982916973852276,4,0.2028120660835105,0.0367472788471319,4,0.7998355329036713,0.03891018065831055,4,0.27791767567396164,0.005164763034975647,4,0.36239948123693466,0.008585969259448965,4,0.35953779212268805,0.05222675178754525,4,0.25430318100531624,0.0430350853026379,4,0.12388489400621139,0.0358828027078702,4,0.13131314916616565,0.037115826094631744,4,0.9432950615882874,0.10483448678751844,4,0.27349933236837387,0.012073714027675401,4,0.3573422357439995,0.015943025663129287,4,0.2903546007209577,0.03434713074375834,4,0.22663712052188947,0.041474193560187,4,0.07248282104130829,0.02452890462200095,4,0.08519058820257339,0.01971351463139193,4,0.9157697409391403,0.10381681823119009,4,99.25,41.684329589587186,4,0.9432950615882874,0.10483448678751844,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,1,938,K562,0.25735411420464516,0.006503259228170295,4,0.33394137769937515,0.009034012758996665,4,0.4432921619344357,0.027238080698200016,4,0.36349568859372905,0.022805514576261288,4,0.19355450068481644,0.024655079792912045,4,0.19706437561259724,0.024647724094985238,4,0.8055857270956039,0.024628703518986928,4,0.27607421576976776,0.004643892681252357,4,0.36093148589134216,0.007542944121398986,4,0.36886236240174786,0.055720384815556495,4,0.25172109076137816,0.05180945636259281,4,0.13095440357243796,0.033483029776659075,4,0.13838801335959366,0.04043444352468519,4,0.9426277875900269,0.06525789432199638,4,0.2716047167778015,0.011190595766001503,4,0.3559790477156639,0.015572012392783382,4,0.2930234130313942,0.03619913598071376,4,0.2187809451568746,0.040667509749808116,4,0.07948106732868332,0.024605513228898604,4,0.08684550366887966,0.02104570298205433,4,0.9191314727067947,0.11199440576836495,4,100.5,26.00640946638604,4,0.9426277875900269,0.06525789432199638,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,1,1340,K562,0.2608039677143097,0.008764057162709296,4,0.3403049185872078,0.013522000197028733,4,0.4338425335070917,0.028429208737908197,4,0.35825705209477354,0.024828312258068332,4,0.18443875683288574,0.02643622918574239,4,0.18882550881194965,0.02479587399110238,4,0.8149526715278625,0.0264165258474852,4,0.27414460480213165,0.006297764755187294,4,0.35860154032707214,0.008638908014355485,4,0.3833990741541964,0.05924473278601097,4,0.26449211318554045,0.04824861763694265,4,0.14200579836388713,0.0399136745170765,4,0.14962730383445938,0.04448980139683942,4,0.9078593254089355,0.07820219072922834,4,0.2704390808939934,0.009752131901256308,4,0.35392165184020996,0.015341123406600748,4,0.3077377325080116,0.033176962749009185,4,0.22266099740201295,0.03373087092068677,4,0.09011984383536595,0.021443201284040838,4,0.09552804515210937,0.020206611725251396,4,0.8842659145593643,0.09133595562831606,4,106.0,37.33630940518894,4,0.9078593254089355,0.07820219072922834,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,1,2011,K562,0.26184117048978806,0.0036381069848957876,4,0.34148623794317245,0.004995052076592438,4,0.4171480406135355,0.014835387423207409,4,0.3315029955672741,0.005586573796041616,4,0.17275596920201144,0.012315225659814497,4,0.17417755432770932,0.012395853872697864,4,0.8268326818943024,0.012309125118123087,4,0.2739318534731865,0.006464333939150427,4,0.3579532280564308,0.009000691443661722,4,0.3885217930464738,0.052776279637766016,4,0.26537466655363096,0.043320502271590434,4,0.14529415388321806,0.035007021419225744,4,0.15303818544134973,0.040852039055775696,4,0.910061314702034,0.06809649898513268,4,0.269483245909214,0.010689492847172515,4,0.3527120500802994,0.015256214786217387,4,0.3159454818198264,0.02781242069640209,4,0.23606225314739765,0.030935012286806108,4,0.09636983286757955,0.018388759175318282,4,0.10040169554110748,0.017304671038514022,4,0.8846928179264069,0.09461949680786863,4,74.75,15.628499608087782,4,0.910061314702034,0.06809649898513268,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,1,2681,K562,0.262811578810215,0.0036132371164209923,4,0.3436340466141701,0.0049777767517408655,4,0.42166808975828063,0.01856763127243691,4,0.33357286518675644,0.01709576073913029,4,0.17573412811379627,0.016771741906155043,4,0.1780625456186993,0.015630312457455862,4,0.8239584267139435,0.016765434471645912,4,0.2731587514281273,0.006716527589109111,4,0.3567759022116661,0.009072259394889232,4,0.39387094903717496,0.04739127426716022,4,0.26510561111776104,0.036832745550424366,4,0.15097656996617173,0.032803292372729505,4,0.1568187741529438,0.037319005492463024,4,0.8891659080982208,0.05803350516044634,4,0.2698381766676903,0.010639086766137885,4,0.35295698046684265,0.014932160952578924,4,0.31601441955774046,0.031093870075606413,4,0.23208308912993758,0.033663637952096766,4,0.09502099203901199,0.020744642303924036,4,0.10059023493562463,0.019473753716885936,4,0.8710174709558487,0.08090024906958232,4,74.0,28.225284173355398,4,0.8891659080982208,0.05803350516044634,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,conv3_plus,1,134,K562,0.24233035743236542,0.038197169593987605,4,0.3167026713490486,0.04844695897276451,4,0.5359713242592663,0.0719423156282096,4,0.5125453517123288,0.07450868043534535,4,0.2739855004162357,0.09009210969654359,4,0.29114703301169337,0.07772472420304583,4,0.7205965369939804,0.08941980736011831,4,0.2879464402794838,0.009642722088637434,4,0.3747541308403015,0.010878531045383173,4,0.31545001849782256,0.04241040817831244,4,0.2283678296852283,0.02310446487808669,4,0.06265568631992852,0.05569447243735926,4,0.10085769621166489,0.027326334283331765,4,1.0432583391666412,0.236892124332467,4,0.28081363439559937,0.015075022391949307,4,0.3671112060546875,0.02172715097745465,4,0.2715756111353478,0.03904339817414813,4,0.22300632920339195,0.03191126786053588,4,0.021467242977369155,0.05079083868083633,4,0.07489660276927643,0.01977425865762952,4,0.9923612028360367,0.18687009120116788,4,39.75,18.786076404259266,4,1.0432583391666412,0.236892124332467,4,179761.0,0.0,4,3063361.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,conv3_plus,1,268,K562,0.24547584354877472,0.030803802331521243,4,0.3186929151415825,0.04012411552439476,4,0.5201209742513682,0.07919810651955063,4,0.44472981010826307,0.08573410332309098,4,0.261804901729066,0.08019397407664351,4,0.2752300829134039,0.08690811425835662,4,0.735440582036972,0.07989477375607924,4,0.28376373648643494,0.006620081002755937,4,0.37020570039749146,0.010464096010023866,4,0.31848673025054874,0.043485345051467436,4,0.22392501223852798,0.022989741919600327,4,0.08583594460074531,0.03909218591596031,4,0.10285202877136966,0.027988100523692445,4,1.010577753186226,0.16557226990394716,4,0.2764446586370468,0.012427017952177172,4,0.362175889313221,0.017991021217414343,4,0.2772040626908023,0.03652367704784065,4,0.22594037197176736,0.021883403328188902,4,0.04738652146587674,0.03280314255272725,4,0.07784257661110745,0.019212991253528742,4,0.9620427787303925,0.12762533192679212,4,25.25,11.05667219374799,4,1.010577753186226,0.16557226990394716,4,179761.0,0.0,4,3063361.0,0.0,4
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,conv3_plus,1,536,K562,0.24611247703433037,0.02514661284230951,4,0.318535178899765,0.02971226779714182,4,0.5257195672567436,0.08257131923715064,4,0.4588062679399252,0.06912034585632501,4,0.27407369451321006,0.08415301520472845,4,0.2814945804670404,0.08598996010714077,4,0.7245720326900482,0.08399605501138277,4,0.28172972798347473,0.007388736155146982,4,0.36751561611890793,0.011306965389967144,4,0.33742330254536285,0.05490944722553914,4,0.23226104338612713,0.03044883630252624,4,0.09907918345622765,0.04114612882828706,4,0.11611577064658017,0.03631145061527708,4,0.969978854060173,0.10950451009549751,4,0.2760249376296997,0.012611336535907583,4,0.3597601503133774,0.01736250694932686,4,0.28562575280162994,0.03788517879789261,4,0.21542853802380407,0.04242818520856705,4,0.06000743346208154,0.03055774889318642,4,0.08265853574290902,0.021667682114264293,4,0.9283509850502014,0.1101070545770238,4,19.25,6.13052471924984,4,0.969978854060173,0.10950451009549751,4,179761.0,0.0,4,3063361.0,0.0,4
