split_strategy,split_pool,split_val_fraction,split_test_fraction,val_is_fixed_across_seeds,test_is_fixed_across_seeds,setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,branched_only,0.2721706543649946,0.010120039700079346,28,0.35615841086421696,0.014067212330128313,28,0.2962195498026645,0.03313505345267954,28,0.22753166016414852,0.03101649982871768,28,0.07852054676812226,0.025654984064440504,28,0.0888047416037726,0.019375715787849943,28,0.9116739460400173,0.10734472841947897,28,179761.0,0.0,28,179761.0,0.0,28
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,conv3_plus,0.27412342918770655,0.011165303865949647,28,0.3582069171326501,0.015560046207025155,28,0.29839387287756397,0.033396417614226306,28,0.22953132185968336,0.028546629097549476,28,0.06785790060765032,0.03638042261482233,28,0.09011439119785478,0.0191152476407293,28,0.9221663347312382,0.11124045026063074,28,179761.0,0.0,28,3063361.0,0.0,28
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0001,2e-05,random,full,0.2772264618958746,0.013634668276378945,28,0.3621567189693451,0.019291447584524227,28,0.29251125369874015,0.03734014693479291,28,0.23387734214808395,0.026161046739024318,28,0.047015232986894646,0.0595115479062092,28,0.08690732416448095,0.020906311139603995,28,0.9434290996619633,0.12924276856032904,28,179761.0,0.0,28,3747661.0,0.0,28
