n,mae,rmse,r2,pearson,spearman,pearson_sq,init_head,seed,split_strategy,split_seed_effective,test_seed_effective
383,1.0776711702346802,1.2149479389190674,-8.063109833024527,0.21555831577711967,0.16236900954862252,0.04646538750066844,K562,17,random_all_per_seed,717185,717185
383,1.0876624584197998,1.2330833673477173,-8.335697130334948,0.21550095103170985,0.1657933651535849,0.04644065989557141,HepG2,17,random_all_per_seed,717185,717185
383,1.1280279159545898,1.2646503448486328,-8.819805039339608,0.23481736576969317,0.20377121287047337,0.05513919526701787,SKNSH,17,random_all_per_seed,717185,717185
383,1.1003178358078003,1.2296357154846191,-9.336534402981798,0.2740052835946284,0.23146838520735805,0.07507889543777273,K562,23,random_all_per_seed,723239,723239
383,1.0822935104370117,1.228785753250122,-9.322249666273901,0.21833063514229645,0.17594035749085635,0.04766826624163857,HepG2,23,random_all_per_seed,723239,723239
383,1.1189814805984497,1.2692562341690063,-10.013379480194152,0.2428536528437619,0.19289069480854246,0.05897789669955842,SKNSH,23,random_all_per_seed,723239,723239
383,1.0416970252990723,1.1736980676651,-9.901902746148018,0.24514220446233692,0.22548865911355856,0.0600947004086542,K562,19,random_all_per_seed,719203,719203
383,1.033839464187622,1.169083833694458,-9.816350582767045,0.2445369933399657,0.2180620933278226,0.05979834111175043,HepG2,19,random_all_per_seed,719203,719203
383,1.0865747928619385,1.2202396392822266,-10.78364645350302,0.22186078853136457,0.21611138760171325,0.049222209487758864,SKNSH,19,random_all_per_seed,719203,719203
383,1.0891516208648682,1.2027778625488281,-9.28523551809903,0.2603034459302939,0.26304975417221566,0.06775788396318545,K562,31,random_all_per_seed,731311,731311
383,1.083283543586731,1.2136762142181396,-9.472468292671874,0.21940491252838756,0.1969588787052024,0.0481385156415894,HepG2,31,random_all_per_seed,731311,731311
383,1.1225109100341797,1.2658284902572632,-10.39181864969,0.17802214371726877,0.13854959847622766,0.031691883653691896,SKNSH,31,random_all_per_seed,731311,731311
