split_strategy,split_pool,split_val_fraction,split_test_fraction,val_is_fixed_across_seeds,test_is_fixed_across_seeds,setting,b_cap,head_lr,backbone_lr,frozen_epochs,train_sampling_mode,unfreeze_scope,train_threshold,train_size,init_head,train_mae_mean,train_mae_std,train_mae_count,train_rmse_mean,train_rmse_std,train_rmse_count,train_pearson_mean,train_pearson_std,train_pearson_count,train_spearman_mean,train_spearman_std,train_spearman_count,train_r2_mean,train_r2_std,train_r2_count,train_pearson_sq_mean,train_pearson_sq_std,train_pearson_sq_count,train_loss_standardized_mean,train_loss_standardized_std,train_loss_standardized_count,val_mae_mean,val_mae_std,val_mae_count,val_rmse_mean,val_rmse_std,val_rmse_count,val_pearson_mean,val_pearson_std,val_pearson_count,val_spearman_mean,val_spearman_std,val_spearman_count,val_r2_mean,val_r2_std,val_r2_count,val_pearson_sq_mean,val_pearson_sq_std,val_pearson_sq_count,val_loss_standardized_mean,val_loss_standardized_std,val_loss_standardized_count,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,best_epoch_mean,best_epoch_std,best_epoch_count,best_val_loss_standardized_mean,best_val_loss_standardized_std,best_val_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,branched_only,1,2297,HepG2,0.2507448121905327,0.03609171135577809,4,0.3288082778453827,0.04688571292013816,4,0.4988288182637431,0.17065900420243657,4,0.426271918255808,0.1897075669024879,4,0.25562803584591015,0.18249212938355283,4,0.27067356171692786,0.19871546124996745,4,0.7440479025244713,0.18241266579563675,4,0.26408591121435165,0.008580258827410061,4,0.34561997652053833,0.014492676805440972,4,0.3184504072805131,0.11659588133011863,4,0.23881421162250838,0.06757614727601673,4,0.09798470565435768,0.08667410228345636,4,0.11160661155448501,0.08213885927579877,4,0.8154050558805466,0.08376397951564343,4,0.27576177567243576,0.018836968459410054,4,0.3603570982813835,0.02249268122055814,4,0.3255691586895318,0.029818496108817674,4,0.2530817194510787,0.025753545675466817,4,0.09708543322393703,0.028035049289586708,4,0.1066621341224532,0.019358138262530394,4,0.8872579038143158,0.114972841071587,4,48.0,78.85429601486528,4,0.8154050558805466,0.08376397951564343,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,branched_only,1,2297,K562,0.2592025026679039,0.023708628277097517,4,0.3397655189037323,0.03191374282755321,4,0.45760373625980566,0.13949692641044925,4,0.3893344711720051,0.14201224715208402,4,0.21096358120688877,0.1258157050758372,4,0.2239957237974055,0.13997606746765895,4,0.7886928766965866,0.1257608699663595,4,0.26387137919664383,0.00755911963245378,4,0.3458788990974426,0.014987749104621018,4,0.3128314150998016,0.12581558292862455,4,0.2295739722439926,0.07860614668018626,4,0.09624114017541494,0.0929194676626674,4,0.10973566495409659,0.08668218889464555,4,0.8166630566120148,0.08520293118680196,4,0.27693646401166916,0.021294371215537126,4,0.3598778247833252,0.025035976535018833,4,0.32201772836985804,0.061003102279370044,4,0.24514873072150248,0.04290820491786131,4,0.09992151667117119,0.033590223689776995,4,0.10648645125026414,0.03666977424709642,4,0.8849901705980301,0.12274023344813924,4,32.0,43.520110293977886,4,0.8166630566120148,0.08520293118680196,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,branched_only,1,2297,SKNSH,0.2622675374150276,0.009654542026136402,4,0.3436623737215996,0.01284945098767915,4,0.447088803247589,0.05358039814819453,4,0.37251128916324616,0.054117584247334594,4,0.19548094560325055,0.04559612695356264,4,0.20204154228865062,0.04895743173959316,4,0.8041688203811646,0.04557621637729761,4,0.2641966789960861,0.008018929117285217,4,0.34582165628671646,0.01417661674872191,4,0.31242936999364007,0.10745176117304367,4,0.23063940328670826,0.05153698358723788,4,0.09704444612882693,0.0845221581312377,4,0.10627152196901445,0.07546302013992082,4,0.8163476139307022,0.0831244096255733,4,0.2737753465771675,0.016800390941694637,4,0.35733136534690857,0.01997383793987302,4,0.34258384627256155,0.020424232456539952,4,0.25162692585853325,0.025431705622207507,4,0.11188614245750692,0.01203368979058655,4,0.11767655368048119,0.013723217057146067,4,0.8713730722665787,0.097027978318413,4,23.75,19.972898304118676,4,0.8163476139307022,0.0831244096255733,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,branched_only,1,3063,HepG2,0.2570490464568138,0.013684329212629597,4,0.3350199684500694,0.01831641719022679,4,0.47540009271352135,0.0803482028465084,4,0.38866759844903337,0.08933023668877414,4,0.22350871665289337,0.07943283510046034,4,0.23084712342752245,0.08269590148361307,4,0.7762377560138702,0.07940693220481668,4,0.2639344111084938,0.008626920474242801,4,0.34509744495153427,0.014846049380570483,4,0.3189816707060917,0.11953212668663743,4,0.23726032401250655,0.06533564255874376,4,0.10030283262094775,0.0923419782363109,4,0.11246525322912226,0.08475548399495382,4,0.8235217332839966,0.0750489647297532,4,0.2731420323252678,0.018276089459220022,4,0.3564213067293167,0.021449200069272947,4,0.35120034205854406,0.03076684339308715,4,0.2510783491878608,0.027441140191571217,4,0.1165853445854736,0.02254240603671042,4,0.1240516292513194,0.022222978750284342,4,0.8796628266572952,0.10988354534085205,4,32.25,30.576407026769292,4,0.8235217332839966,0.0750489647297532,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,branched_only,1,3063,K562,0.26283683627843857,0.009854678960628761,4,0.3427583649754524,0.014076070700011094,4,0.43810659905956484,0.080261403898409,4,0.3572861393017916,0.0718421001220389,4,0.18786899853223546,0.06486682293292037,4,0.19676881185634593,0.06796866791716859,4,0.8118658661842346,0.06484568396394685,4,0.2636650279164314,0.009209117268990565,4,0.3450464904308319,0.015196301488987346,4,0.3160395977163893,0.12744663584684068,4,0.22977449226482727,0.08531566735476066,4,0.10043999570228401,0.0946478516262614,4,0.11206301106624508,0.08981514975128632,4,0.8233354538679123,0.07668182049607732,4,0.27485472708940506,0.02070367978501451,4,0.35832182317972183,0.02386426546284969,4,0.3341144223038997,0.05318923656368008,4,0.24479603181290527,0.03794673195341526,4,0.10750702603988402,0.029607149596116617,4,0.11375426835613899,0.033743327869890004,4,0.8896018713712692,0.12306556347269691,4,25.25,20.966242709015205,4,0.8233354538679123,0.07668182049607732,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,branched_only,1,3063,SKNSH,0.25889311730861664,0.010320632695809982,4,0.3378209248185158,0.014164487700788861,4,0.46529988820770757,0.06861470454561716,4,0.38654240659565126,0.07990291441162176,4,0.21113904375182124,0.06181147964087801,4,0.22003496922601692,0.06665129853913684,4,0.7886034250259399,0.061791341328215434,4,0.26342517882585526,0.00749220954238384,4,0.3451390862464905,0.0144267714650617,4,0.31721193678411236,0.11518513624579561,4,0.24273352165913442,0.05679601087556485,4,0.1004139051506695,0.08729140047864349,4,0.11057412454729956,0.08140131983625815,4,0.823640987277031,0.07306347359727591,4,0.2713148295879364,0.01742722428444822,4,0.35513364523649216,0.021072751702288398,4,0.3555971833903173,0.023530626442298072,4,0.25384629201966974,0.031167727265164154,4,0.1229828924481445,0.016477152455534525,4,0.12686462462070222,0.016800737483350914,4,0.8732344657182693,0.10774600728068677,4,33.25,25.708299567779015,4,0.823640987277031,0.07306347359727591,4,179761.0,0.0,4,179761.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,conv3_plus,1,2297,HepG2,0.25759756565093994,0.018455630605838914,4,0.338098980486393,0.023941040278946512,4,0.47299872632489004,0.10205335930988059,4,0.3827990736326294,0.0790025266145401,4,0.21941783097159365,0.1013668891671783,4,0.2315389612147919,0.0965700903947474,4,0.7802423238754272,0.10132271005802883,4,0.26623623818159103,0.009018368655218966,4,0.3475862815976143,0.013478852131555879,4,0.297221152454025,0.11519090405150055,4,0.21062856844493122,0.05770611606213694,4,0.08800080311992792,0.08127244253723385,4,0.09829212174825025,0.075147328708742,4,0.8244827091693878,0.07968764904467894,4,0.2751711532473564,0.01581697426538872,4,0.3605414852499962,0.019929183237521655,4,0.32553429778638115,0.029311991281490705,4,0.24647086391632148,0.013780117371311651,4,0.09575093741450189,0.016742941483098316,4,0.10661697365993693,0.01870776144267159,4,0.8869253545999527,0.096242839317541,4,1.5,1.7320508075688772,4,0.8244827091693878,0.07968764904467894,4,3063361.0,0.0,4,3063361.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,conv3_plus,1,2297,K562,0.2673931196331978,0.00724204984851117,4,0.35005150735378265,0.010662988949220575,4,0.41918506819439094,0.042229251960066945,4,0.33499000595736944,0.03607146597479757,4,0.16512738109558195,0.04382866976947223,4,0.1770536036879663,0.03570342728253869,4,0.8345091491937637,0.04380956625788594,4,0.26562637835741043,0.008224533086716754,4,0.3481919690966606,0.01425034309828998,4,0.2881785395079862,0.11661797054133684,4,0.2105006224702707,0.06716439847552355,4,0.0848036482805864,0.08323839973248162,4,0.09324668392284105,0.07605919374570759,4,0.8275180160999298,0.08353085264308903,4,0.27486027777194977,0.019368666720936567,4,0.35976392775774,0.02139318906976876,4,0.327835279492955,0.03568091120811157,4,0.25646771691994796,0.03550942232972161,4,0.0999418836290352,0.01853639662060655,4,0.10843081604870478,0.022371040427926713,4,0.8834439516067505,0.10351943331892241,4,0.75,0.9574271077563381,4,0.8275180160999298,0.08353085264308903,4,3063361.0,0.0,4,3063361.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,conv3_plus,1,2297,SKNSH,0.25766532123088837,0.01968350076852655,4,0.3381572440266609,0.026394667899768815,4,0.47526334137503484,0.11137800256925763,4,0.3992176348190378,0.0857147963409151,4,0.21873294129647128,0.11159926580408315,4,0.2351790382472011,0.10605727611041131,4,0.7809269577264786,0.1115506978548771,4,0.26693109422922134,0.009098086147511104,4,0.3483533635735512,0.014953081057324345,4,0.2888512849523436,0.12483791401260103,4,0.22096227066624052,0.08377011572371777,4,0.08367059167713253,0.08834146391766866,4,0.09512344339988316,0.08052245523204533,4,0.8285893350839615,0.08873678085323991,4,0.27626366913318634,0.016091593149901103,4,0.3623270317912102,0.01913639916249652,4,0.3115370836215691,0.025376830534066242,4,0.23656934419707015,0.019034631615043415,4,0.08665191286429005,0.013208362050100347,4,0.09753834211739858,0.015934405806343095,4,0.8956657201051712,0.09369585799049455,4,1.5,1.7320508075688772,4,0.8285893350839615,0.08873678085323991,4,3063361.0,0.0,4,3063361.0,0.0,4
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,conv3_plus,1,3063,HepG2,0.2587161287665367,0.008196007048114769,4,0.3376249223947525,0.011033739977475655,4,0.46657297610369136,0.05354934400587899,4,0.3621937804138511,0.037835787416337086,4,0.21222326888389262,0.05256220851017701,4,0.21984099121285072,0.0485303250756287,4,0.7875195294618607,0.052545075755731946,4,0.26415734738111496,0.008117368604252138,4,0.34658432751893997,0.014856297663028869,4,0.31361426782314683,0.11280141206829719,4,0.22809087953730128,0.06478264795984011,4,0.09280902684220871,0.0894879143282335,4,0.10789702790569981,0.07856670897992984,4,0.8306134045124054,0.07542615662606643,4,0.27345511317253113,0.01792844151600245,4,0.35749809443950653,0.02213970022219224,4,0.3396550808738452,0.0337841039239646,4,0.2527221382447057,0.033720702476673366,4,0.11141187331702299,0.020445859602688275,4,0.11622159822187726,0.022176121544417005,4,0.885117843747139,0.11387062780556934,4,1.25,0.9574271077563382,4,0.8306134045124054,0.07542615662606643,4,3063361.0,0.0,4,3063361.0,0.0,4
