split_strategy,split_pool,split_val_fraction,split_test_fraction,val_is_fixed_across_seeds,test_is_fixed_across_seeds,setting,b_cap,head_lr,backbone_lr,frozen_epochs,train_sampling_mode,unfreeze_scope,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,branched_only,0.27429752921064693,0.016876009944511158,24,0.35790717725952464,0.019887814843086285,24,0.33851378018078543,0.03717452387964098,24,0.24992967484192505,0.028938716703761396,24,0.10932805923768622,0.023861320708814863,24,0.1159159435468932,0.02372025227477334,24,0.8810200517376264,0.10015566062668385,24,179761.0,0.0,24,179761.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,conv3_plus,0.2749137654900551,0.015415177075611429,24,0.36001071333885193,0.018140466948060898,24,0.3266858965891124,0.02703082967671369,24,0.24867132597354893,0.026420684576239903,24,0.09852425946822274,0.016124323290209838,24,0.10742389637686826,0.01738456116590058,24,0.8908050358295441,0.09094816578828727,24,3063361.0,0.0,24,3063361.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,0,random,full,0.2749846453468005,0.014021083198572617,24,0.3600537267824014,0.016605828548324632,24,0.3339035462504129,0.02224646216395015,24,0.25601740169934,0.02687748761148448,24,0.09797040575501763,0.015237126507454096,24,0.1119658622324632,0.015097827875439146,24,0.8907490695516268,0.08446452225610623,24,3747661.0,0.0,24,3747661.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,2,random,branched_only,0.27429752921064693,0.016876009944511158,24,0.35790717725952464,0.019887814843086285,24,0.33851378018078543,0.03717452387964098,24,0.24992967484192505,0.028938716703761396,24,0.10932805923768622,0.023861320708814863,24,0.1159159435468932,0.02372025227477334,24,0.8810200517376264,0.10015566062668385,24,179761.0,0.0,24,179761.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,2,random,conv3_plus,0.2739984219272931,0.01738254364965664,24,0.35816797117392224,0.02089258907337767,24,0.3346284834806404,0.044108740867088096,24,0.25087975396352136,0.03033349122202871,24,0.10820355184410534,0.026452017615726717,24,0.11384073710156313,0.027456542100923773,24,0.8824060435096422,0.10420243242009848,24,179761.0,0.0,24,3063361.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B2_with_RC,,0.0005,0.0001,2,random,full,0.27349913244446117,0.017199435953144347,24,0.35676105444629985,0.02133922811200712,24,0.3435329463040242,0.05263228456775468,24,0.25734170676555007,0.03298671263101901,24,0.11504910015548497,0.034587701542406535,24,0.12066961935102716,0.03443248683827799,24,0.875544677178065,0.10579546014785206,24,179761.0,0.0,24,3747661.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0005,0.0001,0,random,branched_only,0.27469920367002487,0.01590402145721079,24,0.3591170161962509,0.019431868125520023,24,0.33165348630923586,0.03397416256144545,24,0.24523092067512864,0.026617593059534567,24,0.10316653739983851,0.023144548105147416,24,0.11110018521441571,0.021241578578653296,24,0.8867770954966545,0.09795431037896192,24,179761.0,0.0,24,179761.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0005,0.0001,0,random,conv3_plus,0.2749425520499547,0.015321205377025695,24,0.3595401036242644,0.018781728249917577,24,0.33052233583078866,0.025786761053330304,24,0.25003264107170875,0.025448144580526914,24,0.1010324320459021,0.016546393857805153,24,0.10988226498509462,0.016736964168996463,24,0.888677736123403,0.09433999853116924,24,3063361.0,0.0,24,3063361.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0005,0.0001,0,random,full,0.2751023657619953,0.013982930494957056,24,0.36043661336104077,0.016984252770143232,24,0.3308415745338926,0.02151942230577428,24,0.25587759816031413,0.027548473999812886,24,0.09612432960558652,0.01586241806822309,24,0.10989993774575724,0.014432951828416002,24,0.8927638058861097,0.08671420383534653,24,3747661.0,0.0,24,3747661.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0005,0.0001,2,random,branched_only,0.27469920367002487,0.01590402145721079,24,0.3591170161962509,0.019431868125520023,24,0.33165348630923586,0.03397416256144545,24,0.24523092067512864,0.026617593059534567,24,0.10316653739983851,0.023144548105147416,24,0.11110018521441571,0.021241578578653296,24,0.8867770954966545,0.09795431037896192,24,179761.0,0.0,24,179761.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0005,0.0001,2,random,conv3_plus,0.2744765356183052,0.016408884340404974,24,0.3588939656813939,0.020182429489746107,24,0.3315897267013613,0.04217659994818916,24,0.2484227661462007,0.027415977935639952,24,0.10437514949111897,0.02677587689699837,24,0.11165649303777352,0.026326771622058254,24,0.8858097940683365,0.10121972334946065,24,179761.0,0.0,24,3063361.0,0.0,24
random_all_per_seed,all_rows,0.1,0.1,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0005,0.0001,2,random,full,0.27347973609964055,0.016423055692034443,24,0.3568731335302194,0.02070216679605773,24,0.3462934186078741,0.04927354840892438,24,0.2605741313524485,0.03249296827347552,24,0.11432799173339603,0.03429591683535658,24,0.12224585257006802,0.0322426170756517,24,0.8759915207823118,0.1034547091584231,24,179761.0,0.0,24,3747661.0,0.0,24
