setting,train_sampling_mode,unfreeze_scope,test_spearman_mean,test_spearman_std,test_spearman_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_r2_mean,test_r2_std,test_r2_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
B2_with_RC,hq_first,branched_only,0.3103124829874205,0.0231036534909883,252,0.397853328828592,0.048287832447846485,252,0.16060973318614385,0.03710657541055215,252,179761.0,0.0,252,179761.0,0.0,252
B2_with_RC,hq_first,conv3_plus,0.3114898236462226,0.019440041127626376,252,0.40707519900195605,0.04130269632351667,252,0.16740936087113986,0.03260874975102271,252,179761.0,0.0,252,3063361.0,0.0,252
B2_with_RC,hq_first,full,0.3121532674344827,0.019500858422076498,252,0.40172009490519883,0.042584111770754766,252,0.1631852451681076,0.034113097515388116,252,179761.0,0.0,252,3747661.0,0.0,252
B2_with_RC,hq_first,head_only,0.2877919161881447,0.007645073715911703,252,0.3372209814494158,0.013916729750646208,252,0.11391089714361631,0.009335469219239041,252,141.0,0.0,252,141.0,0.0,252
B2_with_RC,hq_first,linear_all_head,0.3165110522498067,0.025478356713496252,252,0.4129883939340773,0.04730468435998011,252,0.17278826679314438,0.037191668914919006,252,179761.0,0.0,252,2782761.0,0.0,252
